head,description,tail,description,weight,,,head,description,tail,entity_score,relation_score
Pericardium,"The Pericardium is noted to have no effusion, while the Interatrial Septum shows aneurysmal changes. Their relationship in heart structure and function is implied but not directly stated.",Interatrial Septum,"The Pericardium is noted to have no effusion, while the Interatrial Septum shows aneurysmal changes. Their relationship in heart structure and function is implied but not directly stated.",4,,,Pericardium,"The Pericardium is noted to have no effusion, while the Interatrial Septum shows aneurysmal changes. Their relationship in heart structure and function is implied but not directly stated.",Interatrial Septum,3,1
Electronically Managed Record (EMR),"The EMR record is used for documentation, which includes the patient's name and MRN, linking these identifiers to medical data.",Name: MRN:,"The EMR record is used for documentation, which includes the patient's name and MRN, linking these identifiers to medical data.",5,,,Electronically Managed Record (EMR),"The EMR record is used for documentation, which includes the patient¡¯s name and MRN, linking these identifiers to medical data.",Name: MRN:,1,2
QACHS,This event occurs within the context of QACHS's treatment plan.,HS Insulin SC Sliding Scale using HUM Insulin RX *blood sugar diagnostic [Acura Test Strips] glucose test strips four times a day Disp #*120 Box Refills:*0,This event occurs within the context of QACHS's treatment plan.,8,,,QACHS,This event occurs within the context of QACHS¡¯s treatment plan.,HS Insulin SC Sliding Scale using HUM Insulin RX *blood sugar diagnostic [Acura Test Strips] glucose test strips four times a day Disp #*120 Box Refills:*0,1,1
HS Insulin SC Sliding Scale using HUM Insulin RX *blood sugar diagnostic [Acura Test Strips] glucose test strips four times a day Disp #*120 Box Refills:*0,The insulin administration is part of the blood sugar diagnostic process.,insulin lispro [Humalog] 100 unit/mL Up to 10 Units per sliding scale four times a day Disp #*10 Each Refills:*0,The insulin administration is part of the blood sugar diagnostic process.,9,,,HS Insulin SC Sliding Scale¡­,The insulin administration is part of the blood sugar diagnostic process.,insulin lispro [Humalog] 100 unit/mL Up to 10 Units per sliding scale four times a day Disp #*10 Each Refills:*0,2,3
HS Insulin SC Sliding Scale using HUM Insulin RX *blood sugar diagnostic [Acura Test Strips] glucose test strips four times a day Disp #*120 Box Refills:*0,The lancets are used in conjunction with the blood sugar diagnostic process.,lancets [Keep Fit Twist Lancets] 33 gauge lancets four times a day Disp #*120 Box Refills:*0,The lancets are used in conjunction with the blood sugar diagnostic process.,8,,,HS Insulin SC Sliding Scale¡­,The lancets are used in conjunction with the blood sugar diagnostic process.,lancets [Keep Fit Twist Lancets] 33 gauge lancets four times a day Disp #*120 Box Refills:*0,2,3
Lorazepam 0.5 1 mg PO Q8H:PRN 30 min prior to Cyberknife Discharge,Lorazepam is administered as part of the preparation for discharge using Cyberknife technology.,Cyberknife Discharge,Lorazepam is administered as part of the preparation for discharge using Cyberknife technology.,7,,,Lorazepam 0.5 1 mg PO Q8H:PRN¡­,Lorazepam is administered as part of the preparation for discharge using Cyberknife technology.,Cyberknife Discharge,3,2
Primary diagnosis: Worsening brain metastases Secondary diagnosis: Metastatic melanoma Discharge Condition: Mental Status: Confused - sometimes. Level of Consciousness: Alert and interactive. Activity Status: Ambulatory - Independent.,The patient's conditions are a result of the treatment received at QACHS.,QACHS,The patient's conditions are a result of the treatment received at QACHS.,9,,,Primary diagnosis: Worsening brain metastases¡­,The patient¡¯s conditions are a result of the treatment received at QACHS.,QACHS,1,1
HS Insulin SC Sliding Scale using HUM Insulin RX *blood sugar diagnostic [Acura Test Strips] glucose test strips four times a day Disp #*120 Box Refills:*0,"The patient's condition, particularly the mental status, may be influenced by their blood sugar levels managed through insulin.",Primary diagnosis: Worsening brain metastases Secondary diagnosis: Metastatic melanoma Discharge Condition: Mental Status: Confused - sometimes. Level of Consciousness: Alert and interactive. Activity Status: Ambulatory - Independent.,"The patient's condition, particularly the mental status, may be influenced by their blood sugar levels managed through insulin.",6,,,HS Insulin SC Sliding Scale¡­,"The patient¡¯s condition, particularly the mental status, may be influenced by their blood sugar levels managed through insulin.",Primary diagnosis: Worsening brain metastases Secondary diagnosis: Metastatic melanoma Discharge Condition: Mental Status: Confused - sometimes. Level of Consciousness: Alert and interactive. Activity Status: Ambulatory - Independent.,2,2
Patient,"The patient has been referred by Dr. for pre-op evaluation prior to MVR, indicating a professional relationship.",Dr.,"The patient has been referred by Dr. for pre-op evaluation prior to MVR, indicating a professional relationship.",8,,,Patient,"The patient has been referred by Dr. for pre-op evaluation prior to MVR, indicating a professional relationship.",Dr.,1,2
Patient,"The patient has a history of CAD and MI, which is relevant to his current medical condition.",CAD MI,"The patient has a history of CAD and MI, which is relevant to his current medical condition.",9,,,Patient,"The patient has a history of CAD and MI, which is relevant to his current medical condition.",CAD MI,3,3
Patient,"The patient underwent 3V CABG as part of his past medical history, impacting his current health status.",3V CABG,"The patient underwent 3V CABG as part of his past medical history, impacting his current health status.",8,,,Patient,"The patient underwent 3V CABG as part of his past medical history, impacting his current health status.",3V CABG,3,3
Patient,"The patient has a history of MV repair, which is relevant to his current condition and the need for MVR.",MV repair,"The patient has a history of MV repair, which is relevant to his current condition and the need for MVR.",7,,,Patient,"The patient has a history of MV repair, which is relevant to his current condition and the need for MVR.",MV repair,3,3
Patient,The patient's DM status affects his overall health and treatment plan.,DM,The patient's DM status affects his overall health and treatment plan.,6,,,Patient,The patient¡¯s DM status affects his overall health and treatment plan.,DM,2,3
Patient,The patient's HTN is a significant factor in his medical history and current condition.,HTN,The patient's HTN is a significant factor in his medical history and current condition.,5,,,Patient,The patient¡¯s HTN is a significant factor in his medical history and current condition.,HTN,2,3
Patient,"The patient has hypercholesterolemia, which impacts his overall health and treatment plan.",Hypercholesterolemia,"The patient has hypercholesterolemia, which impacts his overall health and treatment plan.",4,,,Patient,"The patient has hypercholesterolemia, which impacts his overall health and treatment plan.",Hypercholesterolemia,3,3
Patient,The patient's CRI is a chronic condition that affects his overall health status.,CRI,The patient's CRI is a chronic condition that affects his overall health status.,3,,,Patient,The patient¡¯s CRI is a chronic condition that affects his overall health status.,CRI,3,3
Dr.,"Dr. is involved in the evaluation and referral for MVR, indicating a professional relationship.",MVR,"Dr. is involved in the evaluation and referral for MVR, indicating a professional relationship.",7,,,Dr.,"Dr. is involved in the evaluation and referral for MVR, indicating a professional relationship.",MVR,2,2
Patient,"The patient was admitted for precath hydration before his catheterization, which is part of his current hospital course.",Precath hydration,"The patient was admitted for precath hydration before his catheterization, which is part of his current hospital course.",8,,,Patient,"The patient was admitted for precath hydration before his catheterization, which is part of his current hospital course.",Precath hydration,2,2
Patient,"The ECHO performed on the patient showed severe MR and EF of 35%, impacting his treatment plan.",ECHO,"The ECHO performed on the patient showed severe MR and EF of 35%, impacting his treatment plan.",9,,,Patient,"The ECHO performed on the patient showed severe MR and EF of 35%, impacting his treatment plan.",ECHO,3,3
Fibromyalgia,"The patient has a history of Fibromyalgia, indicating chronic widespread pain and fatigue.",condition,"The patient has a history of Fibromyalgia, indicating chronic widespread pain and fatigue.",6,,,Fibromyalgia,"The patient has a history of Fibromyalgia, indicating chronic widespread pain and fatigue.",condition,3,1
Thoracic Outlet Syndrome,The patient was diagnosed with Thoracic Outlet Syndrome by an orthopedic surgeon but disagreed with this diagnosis by her neurologist.,condition,The patient was diagnosed with Thoracic Outlet Syndrome by an orthopedic surgeon but disagreed with this diagnosis by her neurologist.,7,,,Thoracic Outlet Syndrome,The patient was diagnosed with Thoracic Outlet Syndrome by an orthopedic surgeon but disagreed with this diagnosis by her neurologist.,condition,3,1
Spinal Stenosis,"The patient has Spinal Stenosis, a condition causing back and leg pain due to the narrowing of the spinal canal.",condition,"The patient has Spinal Stenosis, a condition causing back and leg pain due to the narrowing of the spinal canal.",8,,,Spinal Stenosis,"The patient has Spinal Stenosis, a condition causing back and leg pain due to the narrowing of the spinal canal.",condition,3,1
Multiple Sclerosis,The patient was told she had Multiple Sclerosis by ED physicians but disagrees with this diagnosis from her neurologists.,diagnosis,The patient was told she had Multiple Sclerosis by ED physicians but disagrees with this diagnosis from her neurologists.,7,,,Multiple Sclerosis,The patient was told she had Multiple Sclerosis by ED physicians but disagrees with this diagnosis from her neurologists.,diagnosis,3,1
Myasthenia Gravis,"The patient was also told she had Myasthenia Gravis by ED physicians, though it is not confirmed by her neurologists.",diagnosis,"The patient was also told she had Myasthenia Gravis by ED physicians, though it is not confirmed by her neurologists.",6,,,Myasthenia Gravis,"The patient was also told she had Myasthenia Gravis by ED physicians, though it is not confirmed by her neurologists.",diagnosis,3,1
Dr. [Orthopedic Surgeon] ,Dr. [Orthopedic Surgeon] recommended the patient see a neurologist for Thoracic Outlet Syndrome but was disagreed with by Dr. [Neurologist].,person,Dr. [Orthopedic Surgeon] recommended the patient see a neurologist for Thoracic Outlet Syndrome but was disagreed with by Dr. [Neurologist].,8,,,Dr. [Orthopedic Surgeon],Dr. [Orthopedic Surgeon] recommended the patient see a neurologist for Thoracic Outlet Syndrome but was disagreed with by Dr. [Neurologist].,person,2,1
Dr. [Neurologist] ,Dr. [Neurologist] examined the patient and did not agree with the diagnosis of Thoracic Outlet Syndrome by the orthopedic surgeon.,person,Dr. [Neurologist] examined the patient and did not agree with the diagnosis of Thoracic Outlet Syndrome by the orthopedic surgeon.,7,,,Dr. [Neurologist],Dr. [Neurologist] examined the patient and did not agree with the diagnosis of Thoracic Outlet Syndrome by the orthopedic surgeon.,person,2,1
ED Physicians,"ED Physicians provided care to the patient, suggesting diagnoses such as MS and myasthenia gravis but were disagreed with by her neurologists.",organization,"ED Physicians provided care to the patient, suggesting diagnoses such as MS and myasthenia gravis but were disagreed with by her neurologists.",8,,,ED Physicians,"ED Physicians provided care to the patient, suggesting diagnoses such as MS and myasthenia gravis but were disagreed with by her neurologists.",organization,2,1
Neurology Follow-Up,The patient needs a Neurology Follow-Up after experiencing recent syncopal episodes and other symptoms.,event,The patient needs a Neurology Follow-Up after experiencing recent syncopal episodes and other symptoms.,7,,,Neurology Follow-Up,The patient needs a Neurology Follow-Up after experiencing recent syncopal episodes and other symptoms.,event,2,1
Mr.,"Mr. has undergone Radiofrequency Ablation for his hepatocellular carcinoma, which resulted in an abdominal wall hematoma after the procedure.",Radiofrequency Ablation of liver cancer,"Mr. has undergone Radiofrequency Ablation for his hepatocellular carcinoma, which resulted in an abdominal wall hematoma after the procedure.",10,,,Mr.,"Mr. has undergone Radiofrequency Ablation for his hepatocellular carcinoma, which resulted in an abdominal wall hematoma after the procedure.",Radiofrequency Ablation of liver cancer,2,2
Hepatitis C cirrhosis w/ varices,"The patient's chronic hepatitis C and resulting cirrhosis have led to the development of hepatocellular carcinoma, which required an RFA procedure.",Hepatocellular carcinoma (HCC) s/p RFA ablation,"The patient's chronic hepatitis C and resulting cirrhosis have led to the development of hepatocellular carcinoma, which required an RFA procedure.",9,,,Hepatitis C cirrhosis w/ varices,"The patient¡¯s chronic hepatitis C and resulting cirrhosis have led to the development of hepatocellular carcinoma, which required an RFA procedure.",Hepatocellular carcinoma (HCC) s/p RFA ablation,3,3
Radiofrequency Ablation of liver cancer,The Radiofrequency Ablation procedure has caused an abdominal wall hematoma in the patient after the treatment.,abdominal wall hematoma,The Radiofrequency Ablation procedure has caused an abdominal wall hematoma in the patient after the treatment.,8,,,,,,,
Mr.,"Mr. has a history of epistaxis, indicating potential issues with blood clotting or other related conditions.",epistaxis,"Mr. has a history of epistaxis, indicating potential issues with blood clotting or other related conditions.",7,,,,,,,
AlkPhos 378 (abnormal),"Both abnormal liver function tests suggest potential liver involvement, possibly due to pancreatic cancer.",TotBili 1.3 (abnormal),"Both abnormal liver function tests suggest potential liver involvement, possibly due to pancreatic cancer.",6,,,,,,,
AlkPhos 378 (abnormal),"Abnormal AlkPhos level is associated with liver or bile duct issues, which could be related to the pancreatic mass.",RUQ U/S 1.20 cm pancreatic head mass compatible with given clinical history of known pancreatic cancer,"Abnormal AlkPhos level is associated with liver or bile duct issues, which could be related to the pancreatic mass.",7,,,,,,,
TotBili 1.3 (abnormal),Abnormal Total Bilirubin level could be related to the pancreatic mass affecting bile flow.,RUQ U/S 1.20 cm pancreatic head mass compatible with given clinical history of known pancreatic cancer,Abnormal Total Bilirubin level could be related to the pancreatic mass affecting bile flow.,7,,,,,,,
RUQ U/S 1.20 cm pancreatic head mass compatible with given clinical history of known pancreatic cancer,"The presence of a pancreatic mass could be causing biliary obstruction, necessitating the placement of a biliary stent.",Biliary stent in the common bile duct with intrahepatic pneumobilia reflecting stent patency,"The presence of a pancreatic mass could be causing biliary obstruction, necessitating the placement of a biliary stent.",8,,,,,,,
RUQ U/S 1.20 cm pancreatic head mass compatible with given clinical history of known pancreatic cancer,"The presence of a pancreatic mass could be causing systemic effects, leading to splenomegaly as part of the disease process.",Splenomegaly,"The presence of a pancreatic mass could be causing systemic effects, leading to splenomegaly as part of the disease process.",6,,,,,,,
Biliary stent in the common bile duct with intrahepatic pneumobilia reflecting stent patency,The biliary stent and its function could be indirectly related to splenomegaly if there is a systemic effect from the pancreatic cancer.,Splenomegaly,The biliary stent and its function could be indirectly related to splenomegaly if there is a systemic effect from the pancreatic cancer.,5,,,,,,,
AlkPhos 378 (abnormal),"Abnormal AlkPhos level could be related to biliary issues, which are managed by the presence of a biliary stent.",Biliary stent in the common bile duct with intrahepatic pneumobilia reflecting stent patency,"Abnormal AlkPhos level could be related to biliary issues, which are managed by the presence of a biliary stent.",5,,,,,,,
TotBili 1.3 (abnormal),Both abnormal liver function tests and splenomegaly suggest systemic effects from pancreatic cancer.,Splenomegaly,Both abnormal liver function tests and splenomegaly suggest systemic effects from pancreatic cancer.,6,,,,,,,
AlkPhos 378 (abnormal),"Abnormal AlkPhos level could be related to the systemic effects of pancreatic cancer, which might include splenomegaly.",Splenomegaly,"Abnormal AlkPhos level could be related to the systemic effects of pancreatic cancer, which might include splenomegaly.",5,,,,,,,
"Dehydration - low UOP most likely due to hypovolemia from recent severe diarrhea that has now resolved, PO intake poor during this time. Cr stable, now making urine after IVF hydration in ED. Stopped further IVF.","Both conditions are related to the patient's overall health status, with dehydration potentially affecting urine output and urinary retention.",urinary retention - Has hx of urinary frequency and leakage followed by urology. PVR on arrival to floor >300cc. prev on alfuvozin stopped last . Continued vesicare.,"Both conditions are related to the patient's overall health status, with dehydration potentially affecting urine output and urinary retention.",6,,,,,,,
"Dehydration - low UOP most likely due to hypovolemia from recent severe diarrhea that has now resolved, PO intake poor during this time. Cr stable, now making urine after IVF hydration in ED. Stopped further IVF.","Dehydration could be related to systemic effects from pancreatic cancer, affecting fluid balance.",Pancreatic cancer: Stage 2 disease with a 4cm adenocarcinoma in the head of the pancreas and a possible 1.3cm focus in the liver (not biopsy-proven). Post radiation and 5 cycles gemcitabine.,"Dehydration could be related to systemic effects from pancreatic cancer, affecting fluid balance.",7,,,,,,,
urinary retention - Has hx of urinary frequency and leakage followed by urology. PVR on arrival to floor >300cc. prev on alfuvozin stopped last . Continued vesicare.,"Urinary retention could be related to systemic effects from pancreatic cancer, affecting bladder function.",Pancreatic cancer: Stage 2 disease with a 4cm adenocarcinoma in the head of the pancreas and a possible 1.3cm focus in the liver (not biopsy-proven). Post radiation and 5 cycles gemcitabine.,"Urinary retention could be related to systemic effects from pancreatic cancer, affecting bladder function.",6,,,,,,,
Diarrhea - ? malabsorption from panc mass/bile stent occlusion. Improved back on creon.,"Diarrhea could be related to malabsorption from pancreatic mass or bile stent occlusion, which is managed with Creon.",Pancreatic cancer: Stage 2 disease with a 4cm adenocarcinoma in the head of the pancreas and a possible 1.3cm focus in the liver (not biopsy-proven). Post radiation and 5 cycles gemcitabine.,"Diarrhea could be related to malabsorption from pancreatic mass or bile stent occlusion, which is managed with Creon.",8,,,,,,,
"Anemia - malignancy and chemotherapy, stable",Anemia is related to the overall condition from pancreatic cancer and its treatment.,Pancreatic cancer: Stage 2 disease with a 4cm adenocarcinoma in the head of the pancreas and a possible 1.3cm focus in the liver (not biopsy-proven). Post radiation and 5 cycles gemcitabine.,Anemia is related to the overall condition from pancreatic cancer and its treatment.,7,,,,,,,
Ms.,Ms. underwent L tKA surgery as she had refractory pain in her left knee despite conservative measures.,L tKA,Ms. underwent L tKA surgery as she had refractory pain in her left knee despite conservative measures.,10,,,,,,,
Ms.,Ms. was admitted to the Orthopedic Surgery Service for L tKA surgery and postoperative care.,Orthopedic Surgery Service,Ms. was admitted to the Orthopedic Surgery Service for L tKA surgery and postoperative care.,9,,,,,,,
L tKA,"Both TKR and L tKA are joint replacement surgeries, indicating a history of similar procedures in the patient's medical record.",TKR (Right total knee arthroplasty),"Both TKR and L tKA are joint replacement surgeries, indicating a history of similar procedures in the patient's medical record.",8,,,,,,,
Fatty liver,"Fatty liver, diagnosed by CT scan, is one of the chronic conditions noted in the patient's past medical history.",Patient,"Fatty liver, diagnosed by CT scan, is one of the chronic conditions noted in the patient's past medical history.",8,,,,,,,
AST 68 (abnormal),Elevated AST levels can be a sign of liver damage from chronic hepatitis C infection.,"chronic hepatitis C, genotype 3",Elevated AST levels can be a sign of liver damage from chronic hepatitis C infection.,7,,,,,,,
LD(LDH)-154,High LDH levels may indicate ongoing tissue injury or inflammation associated with the chronic hepatitis C infection.,"chronic hepatitis C, genotype 3",High LDH levels may indicate ongoing tissue injury or inflammation associated with the chronic hepatitis C infection.,6,,,,,,,
AlkPhos 36 (abnormal),"Elevated alkaline phosphatase can be a sign of liver disease, including that caused by chronic hepatitis C.","chronic hepatitis C, genotype 3","Elevated alkaline phosphatase can be a sign of liver disease, including that caused by chronic hepatitis C.",5,,,,,,,
TotBili 1.2,Slightly elevated total bilirubin levels may indicate liver dysfunction related to the chronic hepatitis C infection.,"chronic hepatitis C, genotype 3",Slightly elevated total bilirubin levels may indicate liver dysfunction related to the chronic hepatitis C infection.,4,,,,,,,
bibasilar atelectasis,"Atelectasis can occur due to various factors, including post-procedural effects or complications from underlying diseases like HCC.",HCC recurrence,"Atelectasis can occur due to various factors, including post-procedural effects or complications from underlying diseases like HCC.",3,,,,,,,
hematoma 3.1 cm x 2.4 cm,"The hematoma is a complication of the RFA procedure for recurrent HCC, indicating potential bleeding due to tumor treatment.",HCC recurrence,"The hematoma is a complication of the RFA procedure for recurrent HCC, indicating potential bleeding due to tumor treatment.",8,,,,,,,
percutaneous needle access site,The percutaneous needle access site is where the RFA was performed on the recurrent HCC lesion.,HCC recurrence,The percutaneous needle access site is where the RFA was performed on the recurrent HCC lesion.,2,,,,,,,
spleen enlargement with multiple upper abdominal varices,Splenomegaly and varices are complications of liver cirrhosis due to chronic hepatitis C infection.,"chronic hepatitis C, genotype 3",Splenomegaly and varices are complications of liver cirrhosis due to chronic hepatitis C infection.,9,,,,,,,
perihepatic ascites,Ascites is a common complication of advanced liver disease like that caused by chronic hepatitis C.,"chronic hepatitis C, genotype 3",Ascites is a common complication of advanced liver disease like that caused by chronic hepatitis C.,8,,,,,,,
Hepatocellular carcinoma (HCC),HCC is directly associated with the chronic hepatitis C infection and its progression to cirrhosis.,"chronic hepatitis C, genotype 3",HCC is directly associated with the chronic hepatitis C infection and its progression to cirrhosis.,10,,,,,,,
"chronic hepatitis C, genotype 3",Genotype 3 of chronic hepatitis C leads to liver fibrosis and eventually cirrhosis.,cirrhosis,Genotype 3 of chronic hepatitis C leads to liver fibrosis and eventually cirrhosis.,9,,,,,,,
cirrhosis,Cirrhosis causes portal hypertension due to the obstruction of blood flow through the scarred liver tissue.,portal hypertension,Cirrhosis causes portal hypertension due to the obstruction of blood flow through the scarred liver tissue.,10,,,,,,,
varices,Varices develop as a complication of portal hypertension in cirrhotic livers.,cirrhosis,Varices develop as a complication of portal hypertension in cirrhotic livers.,9,,,,,,,
HCC recurrence,Recurrent HCC is a direct result of the chronic hepatitis C infection and its progression to advanced liver disease.,"chronic hepatitis C, genotype 3",Recurrent HCC is a direct result of the chronic hepatitis C infection and its progression to advanced liver disease.,10,,,,,,,
transfusion 1U PRBC,"The transfusion was performed due to significant blood loss from the hematoma, indicating a need for red blood cell support.",hematoma 3.1 cm x 2.4 cm,"The transfusion was performed due to significant blood loss from the hematoma, indicating a need for red blood cell support.",8,,,,,,,
Small Cell Lung Cancer,"Both conditions are chronic illnesses that the patient has, indicating a complex medical history.",CAD (Coronary Artery Disease),"Both conditions are chronic illnesses that the patient has, indicating a complex medical history.",6,,,,,,,
Small Cell Lung Cancer,The patient's small cell lung cancer and atrial flutter/fibrillation are both long-standing conditions that may interact with each other or require concurrent management.,Atrial Flutter/Fibrillation,The patient's small cell lung cancer and atrial flutter/fibrillation are both long-standing conditions that may interact with each other or require concurrent management.,5,,,,,,,
CAD (Coronary Artery Disease),"Both conditions are common co-morbidities, suggesting a patient with a complex cardiovascular profile.",Hypertension,"Both conditions are common co-morbidities, suggesting a patient with a complex cardiovascular profile.",4,,,,,,,
Small Cell Lung Cancer,"The patient has a history of both small cell lung cancer and bladder cancer, indicating multiple malignancies in the past.",Bladder Cancer,"The patient has a history of both small cell lung cancer and bladder cancer, indicating multiple malignancies in the past.",5,,,,,,,
CAD (Coronary Artery Disease),Hypertension associated with CAD may have contributed to the patient's subdural hematoma after a fall.,Subdural Hematoma,Hypertension associated with CAD may have contributed to the patient's subdural hematoma after a fall.,4,,,,,,,
Small Cell Lung Cancer,"The presence of both conditions suggests a complex medical profile, possibly requiring more comprehensive care and monitoring.",Thalassemia Minor,"The presence of both conditions suggests a complex medical profile, possibly requiring more comprehensive care and monitoring.",3,,,,,,,
Pt,"The Son and Husband provided historical information about the Pt, indicating their involvement in the patient's care.",Son and Husband,"The Son and Husband provided historical information about the Pt, indicating their involvement in the patient's care.",8,,,,,,,
Pt,"The Urology Department consulted on the case and placed a ureteral stent for the Pt, showing direct interaction between the patient and this department.",Urology Department,"The Urology Department consulted on the case and placed a ureteral stent for the Pt, showing direct interaction between the patient and this department.",9,,,,,,,
Pt,"The Pt presented to the ER with acute confusion, establishing a clear relationship between the patient and the emergency room setting.",ER,"The Pt presented to the ER with acute confusion, establishing a clear relationship between the patient and the emergency room setting.",10,,,,,,,
Son and Husband,"The Son and Husband provided information about the Pt's history to Dr., indicating their role in communicating patient details to medical professionals.",Dr. ,"The Son and Husband provided information about the Pt's history to Dr., indicating their role in communicating patient details to medical professionals.",7,,,,,,,
Urology Department,"The Urology Department was involved in treating the Pt, specifically placing a ureteral stent during an admission.",Pt,"The Urology Department was involved in treating the Pt, specifically placing a ureteral stent during an admission.",9,,,,,,,
ER,"The ER ordered and performed a CT Head scan which was negative for an acute process, showing interaction between the ER and diagnostic imaging.",CT H,"The ER ordered and performed a CT Head scan which was negative for an acute process, showing interaction between the ER and diagnostic imaging.",8,,,,,,,
Pt,"A Chest X-ray (CXR) was taken during the Pt's admission, indicating its relevance to the patient's care.",CXR,"A Chest X-ray (CXR) was taken during the Pt's admission, indicating its relevance to the patient's care.",7,,,,,,,
Pt,"Urinalysis (UA) was performed on the Pt, showing their involvement in this diagnostic test.",UA,"Urinalysis (UA) was performed on the Pt, showing their involvement in this diagnostic test.",8,,,,,,,
Urology Service,The Urology Service is managing the patient for fever following a ureteroscopy procedure.,Fever post-ureteroscopy,The Urology Service is managing the patient for fever following a ureteroscopy procedure.,8,,,,,,,
"Cystoscopy, right ureteral stent removal, right retrograde pyelogram with interpretation; left ureteroscopy, laser lithotripsy of left renal and ureteral calculi, left retrograde pyelogram with interpretation, left ureteral stent exchange.",These procedures are the context for the patient's fever complaint after the procedure.,Fever post-ureteroscopy,These procedures are the context for the patient's fever complaint after the procedure.,9,,,,,,,
Myositis Ossificans,"Both conditions are part of the patient's past medical history, indicating a complex health profile.",Kidney Stones,"Both conditions are part of the patient's past medical history, indicating a complex health profile.",6,,,,,,,
Right Hip Replacement,"The patient has had multiple surgeries, including right hip replacement, which could be relevant to her current condition.",Fever post-ureteroscopy,"The patient has had multiple surgeries, including right hip replacement, which could be relevant to her current condition.",7,,,,,,,
Fever post-ureteroscopy,The Fluconazole prescription is part of the treatment plan following the fever complaint.,Fluconazole 200 mg PO Q24H RX,The Fluconazole prescription is part of the treatment plan following the fever complaint.,7,,,,,,,
Fever post-ureteroscopy,The Levothyroxine Sodium prescription is unrelated to the fever complaint but part of her overall treatment plan.,Levothyroxine Sodium 50 mcg PO DAILY,The Levothyroxine Sodium prescription is unrelated to the fever complaint but part of her overall treatment plan.,4,,,,,,,
Fever post-ureteroscopy,"The Right Hip Replacement surgery could be relevant to the patient's current condition, as it is part of her overall health profile.",Right Hip Replacement,"The Right Hip Replacement surgery could be relevant to the patient's current condition, as it is part of her overall health profile.",6,,,,,,,
Fever post-ureteroscopy,The Tramadol prescription is unrelated to the fever complaint but part of her overall treatment plan.,TraMADOL (Ultram) 50 mg PO Q4H:PRN pain,The Tramadol prescription is unrelated to the fever complaint but part of her overall treatment plan.,4,,,,,,,
Fever post-ureteroscopy,The Brimonidine-timolol prescription is unrelated to the fever complaint but part of her overall treatment plan.,Brimonidine-timolol 0.2 0.5 % ophthalmic BID,The Brimonidine-timolol prescription is unrelated to the fever complaint but part of her overall treatment plan.,4,,,,,,,
Fever post-ureteroscopy,The Amlodipine prescription is unrelated to the fever complaint but part of her overall treatment plan.,Amlodipine 5 mg PO DAILY,The Amlodipine prescription is unrelated to the fever complaint but part of her overall treatment plan.,4,,,,,,,
Fever post-ureteroscopy,The Ropinirole prescription is unrelated to the fever complaint but part of her overall treatment plan.,Ropinirole 0.5 mg PO BID,The Ropinirole prescription is unrelated to the fever complaint but part of her overall treatment plan.,4,,,,,,,
Fever post-ureteroscopy,The Gabapentin prescription is unrelated to the fever complaint but part of her overall treatment plan.,Gabapentin 100 mg PO TID,The Gabapentin prescription is unrelated to the fever complaint but part of her overall treatment plan.,4,,,,,,,
Fever post-ureteroscopy,The Aspirin prescription is unrelated to the fever complaint but part of her overall treatment plan.,Aspirin 81 mg PO DAILY,The Aspirin prescription is unrelated to the fever complaint but part of her overall treatment plan.,4,,,,,,,
Fever post-ureteroscopy,The Mirtazapine prescription is unrelated to the fever complaint but part of her overall treatment plan.,Mirtazapine 15 mg PO QHS,The Mirtazapine prescription is unrelated to the fever complaint but part of her overall treatment plan.,4,,,,,,,
Fever post-ureteroscopy,The Zolpidem Tartrate prescription is unrelated to the fever complaint but part of her overall treatment plan.,Zolpidem Tartrate 6.25 mg PO QHS,The Zolpidem Tartrate prescription is unrelated to the fever complaint but part of her overall treatment plan.,4,,,,,,,
Fever post-ureteroscopy,The Ciprofloxacin prescription was used to treat the fever complaint.,Ciprofloxacin HCl 500 mg PO ONCE Duration: 1 Dose,The Ciprofloxacin prescription was used to treat the fever complaint.,8,,,,,,,
Fever post-ureteroscopy,The Glaucoma condition is unrelated to the fever complaint but part of her overall health profile.,Glaucoma,The Glaucoma condition is unrelated to the fever complaint but part of her overall health profile.,4,,,,,,,
Fever post-ureteroscopy,The Peripheral Neuropathy condition is unrelated to the fever complaint but part of her overall health profile.,Peripheral Neuropathy,The Peripheral Neuropathy condition is unrelated to the fever complaint but part of her overall health profile.,4,,,,,,,
Patient,The MRI of the Spine confirmed the presence of an intradural lesion at L1-L2 level which is a significant finding in the patient's case.,MRI of the Spine,The MRI of the Spine confirmed the presence of an intradural lesion at L1-L2 level which is a significant finding in the patient's case.,8,,,,,,,
Patient,The L1-L2 Intradural Tumor was diagnosed through the MRI and is central to the patient's condition.,L1-L2 Intradural Tumor,The L1-L2 Intradural Tumor was diagnosed through the MRI and is central to the patient's condition.,9,,,,,,,
MRI of the Spine,"The MRI findings suggested a concern for Cauda Equine Syndrome, which is related to the intradural lesion at L1-L2 level.",Cauda Equine Syndrome,"The MRI findings suggested a concern for Cauda Equine Syndrome, which is related to the intradural lesion at L1-L2 level.",7,,,,,,,
Patient,The Lung Lesion was found through CT of the chest with contrast and is likely metastatic disease from spine lesions.,Lung Lesion,The Lung Lesion was found through CT of the chest with contrast and is likely metastatic disease from spine lesions.,8,,,,,,,
